Player,Count
안우진,204
김광현,169
양의지,329
박동원,191
박병호,46
오재일,1
김혜성,10
김선빈,5
최정,40
문보경,0
오지환,18
박성한,4
이정후,384
나성범,13
피렐라,28
최치훈,0
소크라테스,28
이대호,115
페르난데스,0
