Title
[SSG 우승]숱한 위기 넘고 '가장 완벽한' 우승 입맞춤
"[KS]SSG, 키움 꺾고 KS 정상…12년 만에 통합 우승 기쁨"
"'수비 안정' 벽에 붙여놓고 그렇게 강조하더니…SSG, 수비로 일 냈다 [춘추 KS6]"
"SSG랜더스 KS 우승…정용진 ""사모님 목에 걸어 드렸다"" 인증샷 게재"
"SSG 랜더스, 키움에 4승 2패로 2022 한국시리즈 우승...MVP 김강민"
"'통합우승' 김원형 SSG감독 ""눈물 안난 이유? 내년 걱정 때문"""
"재계약 방침에 우승 보답한 김원형 감독 ""선수들이 선물 준 것"""
[일문일답] 상상도 못한 MVP…김강민 “내년에도 후배들과 함께”
"울지 않은 김원형 감독, 최정 ""내년 걱정하시는 거 아니에요?"" [SSG V5]"
"‘목발’ 짚고 등장한 KS 우승 주장, 지난해 KS와 데자뷔인가 [KS6]"
"또 애플러 돕지 못한 키움, 치명적 수비 실책에 발목"
"'SK 왕조 중견수' 김강민, SSG 새 왕조 선포하고 '시리즈 MVP'(종합)"
"눈물로 눈덩이 부은 추신수 ""후배들아 한 풀어줘 너무 고맙다"""
MVP 김강민 “많이 운 거? 남성호르몬 부족 탓”... 인터뷰도 ‘짬바’
김원형 감독 “대단한 기록 세운 선수들 고맙다”
‘SK 왕조’ 주역들 뭉쳐 다시 한번 대관식 감격
"146억원은 위대했다…SSG 도박 대성공, 용진이 형의 꿈이 현실로[KS]"
"우승 만든 최고조 집중력…SSG, 최종전 호수비 퍼레이드"
"“용진이 형, 우리가 해냈어”"
‘KS 최고령 MVP’ 김강민의 꿈 “옆에서 농담하는 동네 형이 되고 싶다” [SSG 우승]
"KS 우승 김원형 감독 ""승부욕 강했던 날 받아줘...선수들이 고맙다"""
"통합우승 이끈 결승 역전 적시타, 김성현 “말로 표현 못 할 기쁨” [SSG 우승]"
"[SSG 우승] '최고령 KS MVP' 김강민 ""내년에도 SSG맨, 몸이 허락할 때까지 뛴다"""
"눈물 펑펑 흘린 추신수, 마침내 우승 한 풀었다 ""죽어도 여한이 없습니다"""
"처음부터 끝까지 1위 … SSG, 세상에 없던 무결점 우승"
"호수비 6개, 챔피언의 마지막 문을 열었다[이용철의 야구공:감]"
"[뉴스1 PICK]SSG 정용진 구단주, KBO 최초 '와이어 투 와이어' 우승 견인"
‘통합우승 SSG’ 시상식 후 팬들 환호에 반응하는 한유섬 [O! SPORTS 숏폼]
"우승 후 어린왕자부터 찾은 짐승의 오열 ""한번도 운 적 없었는데"" [SSG V5]"
2년 만에 ‘명장’ 소리 듣는 SSG 김원형 감독 “좋은데 눈물은 안나더라”
"마흔 살에 KS MVP 김강민 ""후배들에 그냥 묻어가고 싶었는데"""
어메이징 랜더스 창단 2년만에 KBO 씹어 먹었다! 정용진 구단주 폭풍 눈물[랜더스 우승]
마이크 잡은 '용진이 형' “개인상 없는 우리는 홈 관중 1위 우승팀”
내심 시리즈 MVP 바랐던 김성현 “스타는 따로 있더라”[KS우승]
"[KS6] '데일리 MVP' 김성현 ""시리즈 MVP가 목표였는데…스타는 따로 있었다"""
"패장 아닌 패장, 홍원기 감독 “준PO부터 KS까지 8승, 우리가 진정한 승자” [키움 준우승]"
"[KS]SSG 김광현, 가을야구 마지막 세이브로 장식"
김원형 SSG 감독 “김강민이 내게 안기며 ‘해냈다’고 외쳤다”
"마침내…SSG, 챔피언 깃발을 꽂았다"
"[일문일답] '우승 감독' 김원형 ""우리 선수들, 정말 대단한 기록을 세웠다"""
"[승장] 김원형 감독 ""홍원기 감독 존경...대단한 팀과 붙었다"" [KS6 인터뷰]"
